feature-extraction,clustering-algo,run#,state,AMI,ARI,NMI,time
Bag of Words,LDA,1,2,0.5913641664242195,0.6363586604935739,0.5915389194884694,1927.4718465805054
Bag of Words,LDA,2,4,0.5856240095280832,0.6249691607586232,0.5858014369947202,1965.0523700714111
Bag of Words,LDA,3,6,0.4417630126490177,0.45121001859248244,0.4420017127186946,1954.70387673378
Bag of Words,LDA,4,8,0.5624167427770813,0.6052349837273836,0.5626040578526625,1953.9894671440125
Bag of Words,LDA,5,10,0.5242062961834494,0.5413314195424909,0.5244097420980592,1941.0925877094269
Bag of Words,LDA,6,12,0.42912722726795044,0.4018614867034836,0.4293761945539469,1948.8546013832092
Bag of Words,LDA,7,14,0.4654779417080151,0.4403512569482824,0.4657101566838852,1913.0364112854004
Bag of Words,LDA,8,16,0.44740701763341506,0.4239243879563032,0.447647031108537,1932.176465511322
Bag of Words,LDA,9,18,0.5731004084571489,0.6048164676117065,0.5732837171104165,1950.5411739349365
Bag of Words,LDA,10,20,0.47136466324458715,0.43229920199192085,0.47159222311472554,1952.506067276001
Bag of Words,LDA,11,22,0.5978278355313726,0.6429502741998878,0.5979997910929369,1966.6593415737152
Bag of Words,LDA,12,24,0.4419158142406884,0.4190712762803812,0.44216064601028776,1996.5969426631927
Bag of Words,LDA,13,26,0.5720664760463572,0.6080968078445385,0.5722497842410819,1995.3270604610443
Bag of Words,LDA,14,28,0.5575228316933687,0.586590103985244,0.5577127696960721,1948.7217237949371
Bag of Words,LDA,15,30,0.498328743303322,0.5033344524742271,0.4985444384550011,1947.0095126628876
Bag of Words,LDA,16,32,0.5176874781429793,0.5431130831140473,0.5178948796611234,1956.4666435718536
Bag of Words,LDA,17,34,0.3986653659388561,0.3778415766545598,0.39892360358300916,1961.4098298549652
Bag of Words,LDA,18,36,0.5886667482649224,0.6308737720385026,0.5888426281495956,1953.870487689972
Bag of Words,LDA,19,38,0.551403368480025,0.5951256600691203,0.5515953303122132,1955.5786283016205
Bag of Words,LDA,20,40,0.5221530078184323,0.5431918357053521,0.5223588683609182,1952.623443365097
Bag of Words,LSI,1,2,0.2080042651145771,0.18710900878539266,0.20836022071026314,11.120063781738281
Bag of Words,LSI,2,4,0.20827828176596233,0.187332538038535,0.20863404704687133,10.936470031738281
Bag of Words,LSI,3,6,0.20819408558986213,0.1871732933729738,0.2085499656211616,10.982006549835205
Bag of Words,LSI,4,8,0.20808103039663742,0.187172438460847,0.20843699607676333,10.89518690109253
Bag of Words,LSI,5,10,0.2082369398668344,0.18722670790853177,0.20859275648810308,11.01755690574646
