feature-extraction,clustering-algo,run#,state,AMI,ARI,NMI,time
Sentence BERT,k-means,1,2,0.4988433430157333,0.5200867483553401,0.49905892435223587,37.05417251586914
Sentence BERT,k-means,2,4,0.49965168845946284,0.5183020739128472,0.49986700932621064,47.199357986450195
Sentence BERT,k-means,3,6,0.4995125222397216,0.5198479874111639,0.4997277730918434,40.77562856674194
Sentence BERT,k-means,4,8,0.49965168845946284,0.5183020739128472,0.49986700932621064,36.42196321487427
Sentence BERT,k-means,5,10,0.4986887362381516,0.5178893531040356,0.4989044613751463,36.470072984695435
Sentence BERT,k-means,6,12,0.4993395744740501,0.5215794178437244,0.4995548555642217,48.355835914611816
Sentence BERT,k-means,7,14,0.49779020140318797,0.5171509251459956,0.498006296165225,58.114293336868286
Sentence BERT,k-means,8,16,0.4996067789521602,0.518352361683772,0.4998221134364521,36.345726013183594
Sentence BERT,k-means,9,18,0.4995491629381932,0.5179978065734472,0.49976455088469374,36.38933491706848
Sentence BERT,k-means,10,20,0.49884397038673906,0.5203940179950672,0.4990594364352265,45.455331802368164
Sentence BERT,k-means,11,22,0.49745284828800823,0.5166043084409556,0.4976691064838038,33.99971103668213
Sentence BERT,k-means,12,24,0.5001886527766338,0.5187079063754156,0.500403780542236,39.02248787879944
Sentence BERT,k-means,13,26,0.4996516884594628,0.5183020739128472,0.49986700932621053,47.939486503601074
Sentence BERT,k-means,14,28,0.4995633116903127,0.5202820938533361,0.4997785146798237,41.51610326766968
Sentence BERT,k-means,15,30,0.49816903760125447,0.5186991274677983,0.49838495659257415,30.303638219833374
Sentence BERT,k-means,16,32,0.49819567959271516,0.5169631902971134,0.4984116319045382,55.290424823760986
Sentence BERT,k-means,17,34,0.4976213670884085,0.5165432713012362,0.49783760652744785,38.09694194793701
Sentence BERT,k-means,18,36,0.49933567533854784,0.5209120609602013,0.49955105051974963,45.14621901512146
Sentence BERT,k-means,19,38,0.4997701179474614,0.5228309839032143,0.49998521009993063,45.46958613395691
Sentence BERT,k-means,20,40,0.4996663094486856,0.5232993930768596,0.4998813958893796,40.90622639656067
Sentence BERT,BERTopic,1,2,0.15260434809919257,0.06974574074339883,0.15311218609898922,518.4644248485565
Sentence BERT,BERTopic,2,4,0.14225550431634412,0.06790429340004335,0.14275378220716134,494.7888662815094
Sentence BERT,BERTopic,3,6,0.14710850498218495,0.07833625867446259,0.14763329395747946,493.08495926856995
Sentence BERT,BERTopic,4,8,0.14354888166279706,0.07647296944381941,0.1440517413445816,495.26788091659546
Sentence BERT,BERTopic,5,10,0.1405336762258234,0.06153090266430849,0.14106612948035724,496.84228587150574
Sentence BERT,BERTopic,6,12,0.1481990541775876,0.07240678197744982,0.14870527523052904,496.8843455314636
Sentence BERT,BERTopic,7,14,0.11406027565266869,0.06029171487598644,0.11457832801221786,496.31737995147705
Sentence BERT,BERTopic,8,16,0.15568129208177947,0.04685418047096307,0.1562543906177339,497.69320464134216
Sentence BERT,BERTopic,9,18,0.14294777070173703,0.07472782151813648,0.14345335243936078,496.4189991950989
Sentence BERT,BERTopic,10,20,0.15931375694108757,0.06325911970546307,0.15982687629723882,499.8783242702484
Sentence BERT,BERTopic,11,22,0.17920413976687835,0.08742376460161222,0.1796980964039814,494.6767213344574
Sentence BERT,BERTopic,12,24,0.13468541020499558,0.05451803281257675,0.13522779699317294,495.801381111145
Sentence BERT,BERTopic,13,26,0.09944761723620346,0.049117483377081425,0.09998477839429502,495.6604104042053
Sentence BERT,BERTopic,14,28,0.09871444123030466,0.04423056908305083,0.09929349703715197,495.8343884944916
Sentence BERT,BERTopic,15,30,0.10478595614532957,0.06536100468219803,0.10529412818339666,501.4640486240387
Sentence BERT,BERTopic,16,32,0.13006890779531655,0.05534587705149152,0.13059458328598955,499.36106848716736
Sentence BERT,BERTopic,17,34,0.11739791174363463,0.06956257345181738,0.11793137851472327,496.64466309547424
Sentence BERT,BERTopic,18,36,0.1170654538410219,0.05841423550721641,0.11757298320780062,490.24636578559875
Sentence BERT,BERTopic,19,38,0.16366946389099363,0.08229791544367317,0.16416988996032938,493.5703926086426
Sentence BERT,BERTopic,20,40,0.15011508650265484,0.04475530413929198,0.15066448918102626,492.57741475105286
