feature-extraction,clustering-algo,run#,state,AMI,ARI,NMI,time
tf-idf,k-means,1,2,0.2300461255766953,0.1656994138458747,0.2304594481709561,16.5534245967865
tf-idf,k-means,2,4,0.1088635109361225,0.0320494021720777,0.1094104247573863,18.569142580032352
tf-idf,k-means,3,6,0.2284338866215659,0.1637784468388831,0.2288483287047422,13.722206830978394
tf-idf,k-means,4,8,0.2284640211439548,0.1638643552859066,0.2288783804716523,15.88255500793457
tf-idf,k-means,5,10,0.2303953025092285,0.1660860353225175,0.2308083989470761,14.98577332496643
tf-idf,k-means,6,12,0.2303953025092284,0.1660860353225175,0.230808398947076,15.367380619049072
tf-idf,k-means,7,14,0.2313536025418309,0.1190081685569838,0.2317938046734184,17.37365460395813
tf-idf,k-means,8,16,0.230111048374565,0.1657575453438997,0.2305243361173105,14.183761596679688
tf-idf,k-means,9,18,0.2313536025418309,0.1190081685569838,0.2317938046734184,14.880846977233888
tf-idf,k-means,10,20,0.2316822399842663,0.1188761096565681,0.2321223799154794,17.04543113708496
tf-idf,k-means,11,22,0.2287589888629211,0.1641789735467901,0.2291731974572521,16.79181432723999
tf-idf,k-means,12,24,0.2304420370994414,0.1663480964113488,0.2308550505187402,14.37843370437622
tf-idf,k-means,13,26,0.3002434049627629,0.2316151205026256,0.3005826162710194,15.841038942337036
tf-idf,k-means,14,28,0.230714596824308,0.1666886540169368,0.2311273785322194,16.929359674453735
tf-idf,k-means,15,30,0.2300461255766953,0.1656994138458747,0.2304594481709561,15.358456373214722
tf-idf,k-means,16,32,0.2302205948634636,0.1658926095908619,0.2306338044302257,12.744214057922363
tf-idf,k-means,17,34,0.2300771865231314,0.1657865808559555,0.2304904261590683,12.964072942733765
tf-idf,k-means,18,36,0.2316822399842663,0.1188761096565681,0.2321223799154794,20.262147426605228
tf-idf,k-means,19,38,0.2302205948634635,0.1658926095908619,0.2306338044302257,15.312532663345335
tf-idf,k-means,20,40,0.2302205948634636,0.1658926095908619,0.2306338044302257,14.337554693222046
tf-idf,NMF,1,2,0.41865399056903,0.4270980531371473,0.4189189356517871,984.0245184898376
tf-idf,NMF,2,4,0.4126054448644541,0.4281299393584053,0.4128649601601596,982.5978829860688
tf-idf,NMF,3,6,0.4246537614475081,0.4337423994407742,0.4249178919985246,984.0853371620178
tf-idf,NMF,4,8,0.3949163818398945,0.3953639844230085,0.395189685417901,983.89137840271
tf-idf,NMF,5,10,0.4519133197898382,0.4484493701100295,0.4521693440861935,982.0152161121368
tf-idf,NMF,6,12,0.4353856811522891,0.4330763285677301,0.4356448004576904,979.424681186676
tf-idf,NMF,7,14,0.4158195930629324,0.4256441330735643,0.4160820259152024,976.5341696739196
tf-idf,NMF,8,16,0.4203049129679491,0.4179567741157611,0.420574063593458,980.1873033046722
tf-idf,NMF,9,18,0.4267549224953491,0.4293443241843703,0.4270199240126166,979.640567779541
tf-idf,NMF,10,20,0.4388454270353279,0.4396761067421841,0.4391057208042602,984.6596932411194
tf-idf,NMF,11,22,0.4102003005175792,0.3278366966674904,0.4104840177602332,984.2820675373076
tf-idf,NMF,12,24,0.4101535147571405,0.4197341641029587,0.4104201098777294,987.734982728958
tf-idf,NMF,13,26,0.3238040753021993,0.284844049211474,0.3241306390612739,980.3558213710784
tf-idf,NMF,14,28,0.4220540436562695,0.4035325471255656,0.422324191314932,978.4852159023284
tf-idf,NMF,15,30,0.4160107959988034,0.4286056467386352,0.4162742629383255,977.3667266368866
tf-idf,NMF,16,32,0.3807616238668811,0.3787276896670153,0.3810468522019862,976.4653344154358
tf-idf,NMF,17,34,0.4195234899886416,0.4234168476455306,0.4197823766753612,975.846129655838
tf-idf,NMF,18,36,0.394341262626456,0.4005384727907258,0.394615454522481,1593.555783510208
tf-idf,NMF,19,38,0.2942014831351767,0.2214599866047251,0.2945485605923562,1589.193345785141
tf-idf,NMF,20,40,0.3295426599903464,0.2512837120970335,0.3298790998790156,1583.0775620937347
tf-idf,LDA,1,2,0.5003093043910251,0.5060233301635207,0.5005243403526505,2430.04345703125
tf-idf,LDA,2,4,0.5625167908964364,0.6028740223940744,0.5627038719568304,2432.933196783066
tf-idf,LDA,3,6,0.5139087445344257,0.529851926379761,0.5141171195449171,2435.984244585037
tf-idf,LDA,4,8,0.5877818840331701,0.6323348398921016,0.5879580735930747,2468.656562566757
