clustering-algo,ARI,AMI,NMI,time,embedding
k-means,6.365722783739845e-05,7.017734129241856e-05,0.0004975397059597429,13.107097478139968,Doc2Vec
BERTopic,0.06412782718120201,0.13707037265992675,0.13759334884237578,497.07387627363204,Sentence BERT
k-means,0.5191523587763609,0.49905461773991766,0.499270134626158,42.013627123832705,Sentence BERT
LDA,0.5276284488798937,0.5096070988523632,0.5098175856347024,2322.62355492115,TF-IDF
LSI,0.0019376423271768352,0.03989807546578396,0.04035789833845569,26.359051883220673,TF-IDF
NMF,0.3909230612902065,0.40202233425320333,0.4022996458460744,1072.1711858987808,TF-IDF
k-means,0.1528542229255449,0.22768625035816026,0.22810798078469635,15.674190104007721,TF-IDF
LDA,0.5306272943346055,0.5169044577666646,0.5171123965643178,1953.6844240784644,Bag Of Words
LSI,0.18738359734012483,0.20829874153005315,0.20865455405117594,10.905950593948365,Bag Of Words
NMF,0.1704205735773383,0.17220264889845496,0.17258932011945222,1719.9527070641518,Bag Of Words
