feature-extraction,run#,epoch,state,AMI,ARI,NMI
doc2vec,1,25,2,0.000374,0.000305,0.000401
doc2vec,1,40,4,0.000380,0.000311,0.000407
doc2vec,1,55,6,0.000380,0.000311,0.000407
doc2vec,1,70,8,0.000373,0.000304,0.000400
doc2vec,1,85,10,0.000374,0.000306,0.000402
doc2vec,1,100,12,0.000374,0.000305,0.000402
doc2vec,1,115,14,0.000374,0.000305,0.000402
doc2vec,1,130,16,0.000374,0.000305,0.000402
doc2vec,1,145,18,0.000373,0.000304,0.000400
doc2vec,1,160,20,0.000374,0.000305,0.000402
doc2vec,1,175,22,0.000374,0.000306,0.000402
doc2vec,1,190,24,0.000374,0.000306,0.000402
doc2vec,1,205,26,0.000380,0.000311,0.000407
doc2vec,1,220,28,0.000372,0.000304,0.000399
doc2vec,1,235,30,0.000375,0.000306,0.000402
doc2vec,1,250,32,0.000375,0.000306,0.000402
doc2vec,1,265,34,0.000374,0.000305,0.000402
doc2vec,1,280,36,0.000380,0.000311,0.000407
doc2vec,1,295,38,0.000380,0.000311,0.000407
doc2vec,2,25,2,0.000374,0.000305,0.000401
doc2vec,2,40,4,0.000380,0.000311,0.000407
doc2vec,2,55,6,0.000380,0.000311,0.000407
doc2vec,2,70,8,0.000373,0.000304,0.000400
doc2vec,2,85,10,0.000374,0.000306,0.000402
doc2vec,2,100,12,0.000374,0.000305,0.000402
doc2vec,2,115,14,0.000374,0.000305,0.000402
doc2vec,2,130,16,0.000374,0.000305,0.000402
doc2vec,2,145,18,0.000373,0.000304,0.000400
doc2vec,2,160,20,0.000374,0.000305,0.000402
doc2vec,2,175,22,0.000374,0.000306,0.000402
doc2vec,2,190,24,0.000374,0.000306,0.000402
doc2vec,2,205,26,0.000380,0.000311,0.000407
doc2vec,2,220,28,0.000372,0.000304,0.000399
doc2vec,2,235,30,0.000375,0.000306,0.000402
doc2vec,2,250,32,0.000375,0.000306,0.000402
doc2vec,2,265,34,0.000374,0.000305,0.000402
doc2vec,2,280,36,0.000380,0.000311,0.000407
doc2vec,2,295,38,0.000380,0.000311,0.000407
doc2vec,3,25,2,0.000374,0.000305,0.000401
doc2vec,3,40,4,0.000380,0.000311,0.000407
doc2vec,3,55,6,0.000380,0.000311,0.000407
doc2vec,3,70,8,0.000373,0.000304,0.000400
doc2vec,3,85,10,0.000374,0.000306,0.000402
doc2vec,3,100,12,0.000374,0.000305,0.000402
doc2vec,3,115,14,0.000374,0.000305,0.000402
doc2vec,3,130,16,0.000374,0.000305,0.000402
doc2vec,3,145,18,0.000373,0.000304,0.000400
doc2vec,3,160,20,0.000374,0.000305,0.000402
doc2vec,3,175,22,0.000374,0.000306,0.000402
doc2vec,3,190,24,0.000374,0.000306,0.000402
doc2vec,3,205,26,0.000380,0.000311,0.000407
doc2vec,3,220,28,0.000372,0.000304,0.000399
doc2vec,3,235,30,0.000375,0.000306,0.000402
doc2vec,3,250,32,0.000375,0.000306,0.000402
doc2vec,3,265,34,0.000374,0.000305,0.000402
doc2vec,3,280,36,0.000380,0.000311,0.000407
doc2vec,3,295,38,0.000380,0.000311,0.000407
doc2vec,4,25,2,0.000374,0.000305,0.000401
doc2vec,4,40,4,0.000380,0.000311,0.000407
doc2vec,4,55,6,0.000380,0.000311,0.000407
doc2vec,4,70,8,0.000373,0.000304,0.000400
doc2vec,4,85,10,0.000374,0.000306,0.000402
doc2vec,4,100,12,0.000374,0.000305,0.000402
doc2vec,4,115,14,0.000374,0.000305,0.000402
doc2vec,4,130,16,0.000374,0.000305,0.000402
doc2vec,4,145,18,0.000373,0.000304,0.000400
doc2vec,4,160,20,0.000374,0.000305,0.000402
doc2vec,4,175,22,0.000374,0.000306,0.000402
doc2vec,4,190,24,0.000374,0.000306,0.000402
doc2vec,4,205,26,0.000380,0.000311,0.000407
doc2vec,4,220,28,0.000372,0.000304,0.000399
doc2vec,4,235,30,0.000375,0.000306,0.000402
doc2vec,4,250,32,0.000375,0.000306,0.000402
doc2vec,4,265,34,0.000374,0.000305,0.000402
doc2vec,4,280,36,0.000380,0.000311,0.000407
doc2vec,4,295,38,0.000380,0.000311,0.000407
doc2vec,5,25,2,0.000374,0.000305,0.000401
doc2vec,5,40,4,0.000380,0.000311,0.000407
doc2vec,5,55,6,0.000380,0.000311,0.000407
doc2vec,5,70,8,0.000373,0.000304,0.000400
doc2vec,5,85,10,0.000374,0.000306,0.000402
doc2vec,5,100,12,0.000374,0.000305,0.000402
doc2vec,5,115,14,0.000374,0.000305,0.000402
