feature-extraction,run#,epoch,state,AMI,ARI,NMI
SBERT,1,25,2,0.518000,0.547854,0.518013
SBERT,1,40,4,0.518584,0.547146,0.518597
SBERT,1,55,6,0.518649,0.547506,0.518662
SBERT,1,70,8,0.518672,0.547556,0.518685
SBERT,1,85,10,0.518623,0.547216,0.518636
SBERT,1,100,12,0.518867,0.547944,0.518880
SBERT,1,115,14,0.518602,0.547204,0.518615
SBERT,1,130,16,0.518810,0.547817,0.518824
SBERT,1,145,18,0.518673,0.547558,0.518686
SBERT,1,160,20,0.518892,0.548074,0.518905
SBERT,1,175,22,0.518701,0.547433,0.518714
SBERT,1,190,24,0.518636,0.547244,0.518649
SBERT,1,205,26,0.518672,0.547556,0.518685
SBERT,1,220,28,0.518704,0.547527,0.518717
SBERT,1,235,30,0.518723,0.547510,0.518737
SBERT,1,250,32,0.518679,0.547537,0.518692
SBERT,1,265,34,0.518956,0.548140,0.518969
SBERT,1,280,36,0.518172,0.547624,0.518185
SBERT,1,295,38,0.518653,0.547536,0.518666
SBERT,2,25,2,0.518000,0.547854,0.518013
SBERT,2,40,4,0.518584,0.547146,0.518597
SBERT,2,55,6,0.518649,0.547506,0.518662
SBERT,2,70,8,0.518672,0.547556,0.518685
SBERT,2,85,10,0.518623,0.547216,0.518636
SBERT,2,100,12,0.518867,0.547944,0.518880
SBERT,2,115,14,0.518602,0.547204,0.518615
SBERT,2,130,16,0.518810,0.547817,0.518824
SBERT,2,145,18,0.518673,0.547558,0.518686
SBERT,2,160,20,0.518892,0.548074,0.518905
SBERT,2,175,22,0.518701,0.547433,0.518714
SBERT,2,190,24,0.518636,0.547244,0.518649
SBERT,2,205,26,0.518672,0.547556,0.518685
SBERT,2,220,28,0.518704,0.547527,0.518717
SBERT,2,235,30,0.518723,0.547510,0.518737
SBERT,2,250,32,0.518679,0.547537,0.518692
SBERT,2,265,34,0.518956,0.548140,0.518969
SBERT,2,280,36,0.518172,0.547624,0.518185
SBERT,2,295,38,0.518653,0.547536,0.518666
SBERT,3,25,2,0.518000,0.547854,0.518013
SBERT,3,40,4,0.518584,0.547146,0.518597
SBERT,3,55,6,0.518649,0.547506,0.518662
SBERT,3,70,8,0.518672,0.547556,0.518685
SBERT,3,85,10,0.518623,0.547216,0.518636
SBERT,3,100,12,0.518867,0.547944,0.518880
SBERT,3,115,14,0.518602,0.547204,0.518615
SBERT,3,130,16,0.518810,0.547817,0.518824
SBERT,3,145,18,0.518673,0.547558,0.518686
SBERT,3,160,20,0.518892,0.548074,0.518905
SBERT,3,175,22,0.518701,0.547433,0.518714
SBERT,3,190,24,0.518636,0.547244,0.518649
SBERT,3,205,26,0.518672,0.547556,0.518685
SBERT,3,220,28,0.518704,0.547527,0.518717
SBERT,3,235,30,0.518723,0.547510,0.518737
SBERT,3,250,32,0.518679,0.547537,0.518692
SBERT,3,265,34,0.518956,0.548140,0.518969
SBERT,3,280,36,0.518172,0.547624,0.518185
SBERT,3,295,38,0.518653,0.547536,0.518666
SBERT,4,25,2,0.518000,0.547854,0.518013
SBERT,4,40,4,0.518584,0.547146,0.518597
SBERT,4,55,6,0.518649,0.547506,0.518662
SBERT,4,70,8,0.518672,0.547556,0.518685
SBERT,4,85,10,0.518623,0.547216,0.518636
SBERT,4,100,12,0.518867,0.547944,0.518880
SBERT,4,115,14,0.518602,0.547204,0.518615
SBERT,4,130,16,0.518810,0.547817,0.518824
SBERT,4,145,18,0.518673,0.547558,0.518686
SBERT,4,160,20,0.518892,0.548074,0.518905
SBERT,4,175,22,0.518701,0.547433,0.518714
SBERT,4,190,24,0.518636,0.547244,0.518649
SBERT,4,205,26,0.518672,0.547556,0.518685
SBERT,4,220,28,0.518704,0.547527,0.518717
SBERT,4,235,30,0.518723,0.547510,0.518737
SBERT,4,250,32,0.518679,0.547537,0.518692
SBERT,4,265,34,0.518956,0.548140,0.518969
SBERT,4,280,36,0.518172,0.547624,0.518185
SBERT,4,295,38,0.518653,0.547536,0.518666
SBERT,5,25,2,0.518000,0.547854,0.518013
SBERT,5,40,4,0.518584,0.547146,0.518597
SBERT,5,55,6,0.518649,0.547506,0.518662
SBERT,5,70,8,0.518672,0.547556,0.518685
SBERT,5,85,10,0.518623,0.547216,0.518636
SBERT,5,100,12,0.518867,0.547944,0.518880
SBERT,5,115,14,0.518602,0.547204,0.518615
SBERT,5,130,16,0.518810,0.547817,0.518824
SBERT,5,145,18,0.518673,0.547558,0.518686
SBERT,5,160,20,0.518892,0.548074,0.518905
SBERT,5,175,22,0.518701,0.547433,0.518714
SBERT,5,190,24,0.518636,0.547244,0.518649
SBERT,5,205,26,0.518672,0.547556,0.518685
SBERT,5,220,28,0.518704,0.547527,0.518717
SBERT,5,235,30,0.518723,0.547510,0.518737
SBERT,5,250,32,0.518679,0.547537,0.518692
SBERT,5,265,34,0.518956,0.548140,0.518969
