feature-extraction,run#,epoch,state,AMI,ARI,NMI
tf-idf,1,25,2,0.2055599563076599,0.13447532051645072,0.20558543866467638
tf-idf,1,40,4,0.22989510177642125,0.16406198588664414,0.2299195763942251
tf-idf,1,55,6,0.23079458501521521,0.1652900309963893,0.23081902089839398
tf-idf,1,70,8,0.30143780870444803,0.23279044437946364,0.30145785841639333
tf-idf,1,85,10,0.3569187948282708,0.26638229700811006,0.3569373186153835
tf-idf,1,100,12,0.3384433853862014,0.23605482797638758,0.3384648962375731
tf-idf,1,115,14,0.23620789924204164,0.12185594647671653,0.23623376625886786
tf-idf,1,130,16,0.23510733951830512,0.12056701188340628,0.2351332615106891
tf-idf,1,145,18,0.23012533312901742,0.16442162319335346,0.23014979690389495
tf-idf,1,160,20,0.23510403871118335,0.12052720860973823,0.23512996100668845
tf-idf,1,175,22,0.23049722006423903,0.16491372707570673,0.23052166930585372
tf-idf,1,190,24,0.230448740411323,0.1648713172177223,0.2304731898210037
tf-idf,1,205,26,0.22993738408630307,0.164112411162261,0.22996185711091552
tf-idf,1,220,28,0.23503500786118245,0.12018600216221768,0.23506093955563448
tf-idf,1,235,30,0.23505458604881319,0.12021382545549832,0.23508051637411628
tf-idf,1,250,32,0.24624833052916387,0.1376472686712753,0.24627205983144654
tf-idf,1,265,34,0.23039731091876395,0.16480513393928775,0.23042176362359737
tf-idf,1,280,36,0.2299082971451619,0.16407324700658088,0.22993277150655553
tf-idf,1,295,38,0.2290039284676764,0.16288818959025272,0.22902843877677442
tf-idf,2,25,2,0.2055599563076599,0.13447532051645072,0.20558543866467638
tf-idf,2,40,4,0.22989510177642125,0.16406198588664414,0.2299195763942251
tf-idf,2,55,6,0.23079458501521521,0.1652900309963893,0.23081902089839398
tf-idf,2,70,8,0.30143780870444803,0.23279044437946364,0.30145785841639333
tf-idf,2,85,10,0.3569187948282708,0.26638229700811006,0.3569373186153835
tf-idf,2,100,12,0.3384433853862014,0.23605482797638758,0.3384648962375731
tf-idf,2,115,14,0.23620789924204164,0.12185594647671653,0.23623376625886786
tf-idf,2,130,16,0.23510733951830512,0.12056701188340628,0.2351332615106891
tf-idf,2,145,18,0.23012533312901742,0.16442162319335346,0.23014979690389495
tf-idf,2,160,20,0.23510403871118335,0.12052720860973823,0.23512996100668845
tf-idf,2,175,22,0.23049722006423903,0.16491372707570673,0.23052166930585372
tf-idf,2,190,24,0.230448740411323,0.1648713172177223,0.2304731898210037
tf-idf,2,205,26,0.22993738408630307,0.164112411162261,0.22996185711091552
tf-idf,2,220,28,0.23503500786118245,0.12018600216221768,0.23506093955563448
tf-idf,2,235,30,0.23505458604881319,0.12021382545549832,0.23508051637411628
tf-idf,2,250,32,0.24624833052916387,0.1376472686712753,0.24627205983144654
tf-idf,2,265,34,0.23039731091876395,0.16480513393928775,0.23042176362359737
tf-idf,2,280,36,0.2299082971451619,0.16407324700658088,0.22993277150655553
tf-idf,2,295,38,0.2290039284676764,0.16288818959025272,0.22902843877677442
tf-idf,3,25,2,0.2055599563076599,0.13447532051645072,0.20558543866467638
tf-idf,3,40,4,0.22989510177642125,0.16406198588664414,0.2299195763942251
tf-idf,3,55,6,0.23079458501521521,0.1652900309963893,0.23081902089839398
tf-idf,3,70,8,0.30143780870444803,0.23279044437946364,0.30145785841639333
tf-idf,3,85,10,0.3569187948282708,0.26638229700811006,0.3569373186153835
tf-idf,3,100,12,0.3384433853862014,0.23605482797638758,0.3384648962375731
tf-idf,3,115,14,0.23620789924204164,0.12185594647671653,0.23623376625886786
tf-idf,3,130,16,0.23510733951830512,0.12056701188340628,0.2351332615106891
tf-idf,3,145,18,0.23012533312901742,0.16442162319335346,0.23014979690389495
tf-idf,3,160,20,0.23510403871118335,0.12052720860973823,0.23512996100668845
tf-idf,3,175,22,0.23049722006423903,0.16491372707570673,0.23052166930585372
tf-idf,3,190,24,0.230448740411323,0.1648713172177223,0.2304731898210037
tf-idf,3,205,26,0.22993738408630307,0.164112411162261,0.22996185711091552
tf-idf,3,220,28,0.23503500786118245,0.12018600216221768,0.23506093955563448
tf-idf,3,235,30,0.23505458604881319,0.12021382545549832,0.23508051637411628
tf-idf,3,250,32,0.24624833052916387,0.1376472686712753,0.24627205983144654
tf-idf,3,265,34,0.23039731091876395,0.16480513393928775,0.23042176362359737
tf-idf,3,280,36,0.2299082971451619,0.16407324700658088,0.22993277150655553
tf-idf,3,295,38,0.2290039284676764,0.16288818959025272,0.22902843877677442
tf-idf,4,25,2,0.2055599563076599,0.13447532051645072,0.20558543866467638
tf-idf,4,40,4,0.22989510177642125,0.16406198588664414,0.2299195763942251
tf-idf,4,55,6,0.23079458501521521,0.1652900309963893,0.23081902089839398
tf-idf,4,70,8,0.30143780870444803,0.23279044437946364,0.30145785841639333
tf-idf,4,85,10,0.3569187948282708,0.26638229700811006,0.3569373186153835
tf-idf,4,100,12,0.3384433853862014,0.23605482797638758,0.3384648962375731
tf-idf,4,115,14,0.23620789924204164,0.12185594647671653,0.23623376625886786
tf-idf,4,130,16,0.23510733951830512,0.12056701188340628,0.2351332615106891
tf-idf,4,145,18,0.23012533312901742,0.16442162319335346,0.23014979690389495
tf-idf,4,160,20,0.23510403871118335,0.12052720860973823,0.23512996100668845
tf-idf,4,175,22,0.23049722006423903,0.16491372707570673,0.23052166930585372
tf-idf,4,190,24,0.230448740411323,0.1648713172177223,0.2304731898210037
