feature-extraction,run#,epoch,state,AMI,ARI,NMI
tf-idf,1,25,2,0.2055599563076599,0.1344753205164507,0.2055854386646763
tf-idf,1,40,4,0.2298951017764212,0.1640619858866441,0.2299195763942251
tf-idf,1,55,6,0.2307945850152152,0.1652900309963893,0.2308190208983939
tf-idf,1,70,8,0.301437808704448,0.2327904443794636,0.3014578584163933
tf-idf,1,85,10,0.3569187948282708,0.26638229700811,0.3569373186153835
tf-idf,1,100,12,0.3384433853862014,0.2360548279763875,0.3384648962375731
tf-idf,1,115,14,0.2362078992420416,0.1218559464767165,0.2362337662588678
tf-idf,1,130,16,0.2351073395183051,0.1205670118834062,0.2351332615106891
tf-idf,1,145,18,0.2301253331290174,0.1644216231933534,0.2301497969038949
tf-idf,1,160,20,0.2351040387111833,0.1205272086097382,0.2351299610066884
tf-idf,1,175,22,0.230497220064239,0.1649137270757067,0.2305216693058537
tf-idf,1,190,24,0.230448740411323,0.1648713172177223,0.2304731898210037
tf-idf,1,205,26,0.229937384086303,0.164112411162261,0.2299618571109155
tf-idf,1,220,28,0.2350350078611824,0.1201860021622176,0.2350609395556344
tf-idf,1,235,30,0.2350545860488131,0.1202138254554983,0.2350805163741162
tf-idf,1,250,32,0.2462483305291638,0.1376472686712753,0.2462720598314465
tf-idf,1,265,34,0.2303973109187639,0.1648051339392877,0.2304217636235973
tf-idf,1,280,36,0.2299082971451619,0.1640732470065808,0.2299327715065555
tf-idf,1,295,38,0.2290039284676764,0.1628881895902527,0.2290284387767744
tf-idf,2,25,2,0.2055599563076599,0.1344753205164507,0.2055854386646763
tf-idf,2,40,4,0.2298951017764212,0.1640619858866441,0.2299195763942251
tf-idf,2,55,6,0.2307945850152152,0.1652900309963893,0.2308190208983939
tf-idf,2,70,8,0.301437808704448,0.2327904443794636,0.3014578584163933
tf-idf,2,85,10,0.3569187948282708,0.26638229700811,0.3569373186153835
tf-idf,2,100,12,0.3384433853862014,0.2360548279763875,0.3384648962375731
tf-idf,2,115,14,0.2362078992420416,0.1218559464767165,0.2362337662588678
tf-idf,2,130,16,0.2351073395183051,0.1205670118834062,0.2351332615106891
tf-idf,2,145,18,0.2301253331290174,0.1644216231933534,0.2301497969038949
tf-idf,2,160,20,0.2351040387111833,0.1205272086097382,0.2351299610066884
tf-idf,2,175,22,0.230497220064239,0.1649137270757067,0.2305216693058537
tf-idf,2,190,24,0.230448740411323,0.1648713172177223,0.2304731898210037
tf-idf,2,205,26,0.229937384086303,0.164112411162261,0.2299618571109155
tf-idf,2,220,28,0.2350350078611824,0.1201860021622176,0.2350609395556344
tf-idf,2,235,30,0.2350545860488131,0.1202138254554983,0.2350805163741162
tf-idf,2,250,32,0.2462483305291638,0.1376472686712753,0.2462720598314465
tf-idf,2,265,34,0.2303973109187639,0.1648051339392877,0.2304217636235973
tf-idf,2,280,36,0.2299082971451619,0.1640732470065808,0.2299327715065555
tf-idf,2,295,38,0.2290039284676764,0.1628881895902527,0.2290284387767744
tf-idf,3,25,2,0.2055599563076599,0.1344753205164507,0.2055854386646763
tf-idf,3,40,4,0.2298951017764212,0.1640619858866441,0.2299195763942251
tf-idf,3,55,6,0.2307945850152152,0.1652900309963893,0.2308190208983939
tf-idf,3,70,8,0.301437808704448,0.2327904443794636,0.3014578584163933
tf-idf,3,85,10,0.3569187948282708,0.26638229700811,0.3569373186153835
tf-idf,3,100,12,0.3384433853862014,0.2360548279763875,0.3384648962375731
tf-idf,3,115,14,0.2362078992420416,0.1218559464767165,0.2362337662588678
tf-idf,3,130,16,0.2351073395183051,0.1205670118834062,0.2351332615106891
tf-idf,3,145,18,0.2301253331290174,0.1644216231933534,0.2301497969038949
tf-idf,3,160,20,0.2351040387111833,0.1205272086097382,0.2351299610066884
tf-idf,3,175,22,0.230497220064239,0.1649137270757067,0.2305216693058537
tf-idf,3,190,24,0.230448740411323,0.1648713172177223,0.2304731898210037
tf-idf,3,205,26,0.229937384086303,0.164112411162261,0.2299618571109155
tf-idf,3,220,28,0.2350350078611824,0.1201860021622176,0.2350609395556344
tf-idf,3,235,30,0.2350545860488131,0.1202138254554983,0.2350805163741162
tf-idf,3,250,32,0.2462483305291638,0.1376472686712753,0.2462720598314465
tf-idf,3,265,34,0.2303973109187639,0.1648051339392877,0.2304217636235973
tf-idf,3,280,36,0.2299082971451619,0.1640732470065808,0.2299327715065555
tf-idf,3,295,38,0.2290039284676764,0.1628881895902527,0.2290284387767744
tf-idf,4,25,2,0.2055599563076599,0.1344753205164507,0.2055854386646763
tf-idf,4,40,4,0.2298951017764212,0.1640619858866441,0.2299195763942251
tf-idf,4,55,6,0.2307945850152152,0.1652900309963893,0.2308190208983939
tf-idf,4,70,8,0.301437808704448,0.2327904443794636,0.3014578584163933
tf-idf,4,85,10,0.3569187948282708,0.26638229700811,0.3569373186153835
tf-idf,4,100,12,0.3384433853862014,0.2360548279763875,0.3384648962375731
tf-idf,4,115,14,0.2362078992420416,0.1218559464767165,0.2362337662588678
tf-idf,4,130,16,0.2351073395183051,0.1205670118834062,0.2351332615106891
tf-idf,4,145,18,0.2301253331290174,0.1644216231933534,0.2301497969038949
tf-idf,4,160,20,0.2351040387111833,0.1205272086097382,0.2351299610066884
tf-idf,4,175,22,0.230497220064239,0.1649137270757067,0.2305216693058537
tf-idf,4,190,24,0.230448740411323,0.1648713172177223,0.2304731898210037
tf-idf,4,205,26,0.229937384086303,0.164112411162261,0.2299618571109155
tf-idf,4,220,28,0.2350350078611824,0.1201860021622176,0.2350609395556344
tf-idf,4,235,30,0.2350545860488131,0.1202138254554983,0.2350805163741162
tf-idf,4,250,32,0.2462483305291638,0.1376472686712753,0.2462720598314465
tf-idf,4,265,34,0.2303973109187639,0.1648051339392877,0.2304217636235973
tf-idf,4,280,36,0.2299082971451619,0.1640732470065808,0.2299327715065555
tf-idf,4,295,38,0.2290039284676764,0.1628881895902527,0.2290284387767744
tf-idf,5,25,2,0.2055599563076599,0.1344753205164507,0.2055854386646763
tf-idf,5,40,4,0.2298951017764212,0.1640619858866441,0.2299195763942251
tf-idf,5,55,6,0.2307945850152152,0.1652900309963893,0.2308190208983939
tf-idf,5,70,8,0.301437808704448,0.2327904443794636,0.3014578584163933
tf-idf,5,85,10,0.3569187948282708,0.26638229700811,0.3569373186153835
tf-idf,5,100,12,0.3384433853862014,0.2360548279763875,0.3384648962375731
tf-idf,5,115,14,0.2362078992420416,0.1218559464767165,0.2362337662588678
tf-idf,5,130,16,0.2351073395183051,0.1205670118834062,0.2351332615106891
tf-idf,5,145,18,0.2301253331290174,0.1644216231933534,0.2301497969038949
tf-idf,5,160,20,0.2351040387111833,0.1205272086097382,0.2351299610066884
tf-idf,5,175,22,0.230497220064239,0.1649137270757067,0.2305216693058537
tf-idf,5,190,24,0.230448740411323,0.1648713172177223,0.2304731898210037
tf-idf,5,205,26,0.229937384086303,0.164112411162261,0.2299618571109155
tf-idf,5,220,28,0.2350350078611824,0.1201860021622176,0.2350609395556344
tf-idf,5,235,30,0.2350545860488131,0.1202138254554983,0.2350805163741162
tf-idf,5,250,32,0.2462483305291638,0.1376472686712753,0.2462720598314465
tf-idf,5,265,34,0.2303973109187639,0.1648051339392877,0.2304217636235973
tf-idf,5,280,36,0.2299082971451619,0.1640732470065808,0.2299327715065555
tf-idf,5,295,38,0.2290039284676764,0.1628881895902527,0.2290284387767744
tf-idf,6,25,2,0.2055599563076599,0.1344753205164507,0.2055854386646763
tf-idf,6,40,4,0.2298951017764212,0.1640619858866441,0.2299195763942251
tf-idf,6,55,6,0.2307945850152152,0.1652900309963893,0.2308190208983939
tf-idf,6,70,8,0.301437808704448,0.2327904443794636,0.3014578584163933
tf-idf,6,85,10,0.3569187948282708,0.26638229700811,0.3569373186153835
tf-idf,6,100,12,0.3384433853862014,0.2360548279763875,0.3384648962375731
tf-idf,6,115,14,0.2362078992420416,0.1218559464767165,0.2362337662588678
tf-idf,6,130,16,0.2351073395183051,0.1205670118834062,0.2351332615106891
tf-idf,6,145,18,0.2301253331290174,0.1644216231933534,0.2301497969038949
tf-idf,6,160,20,0.2351040387111833,0.1205272086097382,0.2351299610066884
tf-idf,6,175,22,0.230497220064239,0.1649137270757067,0.2305216693058537
tf-idf,6,190,24,0.230448740411323,0.1648713172177223,0.2304731898210037
tf-idf,6,205,26,0.229937384086303,0.164112411162261,0.2299618571109155
tf-idf,6,220,28,0.2350350078611824,0.1201860021622176,0.2350609395556344
tf-idf,6,235,30,0.2350545860488131,0.1202138254554983,0.2350805163741162
tf-idf,6,250,32,0.2462483305291638,0.1376472686712753,0.2462720598314465
tf-idf,6,265,34,0.2303973109187639,0.1648051339392877,0.2304217636235973
tf-idf,6,280,36,0.2299082971451619,0.1640732470065808,0.2299327715065555
tf-idf,6,295,38,0.2290039284676764,0.1628881895902527,0.2290284387767744
tf-idf,7,25,2,0.2055599563076599,0.1344753205164507,0.2055854386646763
tf-idf,7,40,4,0.2298951017764212,0.1640619858866441,0.2299195763942251
tf-idf,7,55,6,0.2307945850152152,0.1652900309963893,0.2308190208983939
tf-idf,7,70,8,0.301437808704448,0.2327904443794636,0.3014578584163933
tf-idf,7,85,10,0.3569187948282708,0.26638229700811,0.3569373186153835
tf-idf,7,100,12,0.3384433853862014,0.2360548279763875,0.3384648962375731
tf-idf,7,115,14,0.2362078992420416,0.1218559464767165,0.2362337662588678
tf-idf,7,130,16,0.2351073395183051,0.1205670118834062,0.2351332615106891
tf-idf,7,145,18,0.2301253331290174,0.1644216231933534,0.2301497969038949
tf-idf,7,160,20,0.2351040387111833,0.1205272086097382,0.2351299610066884
tf-idf,7,175,22,0.230497220064239,0.1649137270757067,0.2305216693058537
tf-idf,7,190,24,0.230448740411323,0.1648713172177223,0.2304731898210037
tf-idf,7,205,26,0.229937384086303,0.164112411162261,0.2299618571109155
tf-idf,7,220,28,0.2350350078611824,0.1201860021622176,0.2350609395556344
tf-idf,7,235,30,0.2350545860488131,0.1202138254554983,0.2350805163741162
tf-idf,7,250,32,0.2462483305291638,0.1376472686712753,0.2462720598314465
tf-idf,7,265,34,0.2303973109187639,0.1648051339392877,0.2304217636235973
tf-idf,7,280,36,0.2299082971451619,0.1640732470065808,0.2299327715065555
tf-idf,7,295,38,0.2290039284676764,0.1628881895902527,0.2290284387767744
