epoch,AMI,ARI,NMI
25,0.000148,0.000123,0.000173
40,0.000152,0.000127,0.000178
55,0.000149,0.000125,0.000175
70,0.000155,0.000129,0.000181
85,0.000152,0.000126,0.000177
100,0.000156,0.00013,0.000181
115,0.000154,0.000128,0.00018
130,0.000151,0.000126,0.000177
145,0.000154,0.000128,0.00018
160,0.000154,0.000128,0.00018
175,0.000154,0.000128,0.00018
190,0.000154,0.000128,0.00018
205,0.000154,0.000128,0.000179
220,0.000154,0.000128,0.000179
235,0.000152,0.000127,0.000178
250,0.000154,0.000128,0.00018
265,0.000154,0.000128,0.00018
280,0.000154,0.000128,0.00018
295,0.000154,0.000128,0.00018
